X_Y    13CO J=2-1    C+ 158um    CH+ J=1-0    CO J=10-9    CO J=2-1    HCO+ J=3-2
24_4    1.5901942e-09    4.5519005e-06    1.304591e-07    6.6517185e-07    1.1096274e-09    7.272084e-09
25_4    1.6081684e-09    4.712228e-06    7.714649e-08    6.5865885e-07    1.0992249e-09    6.737098e-09
26_4    1.4384713e-09    4.5437614e-06    1.0533579e-07    7.2825566e-07    1.5593392e-09    7.225327e-09
27_4    1.108779e-09    4.253237e-06    1.1289337e-07    6.060852e-07    1.54355e-09    7.7627496e-09
28_4    1.2277408e-09    4.329364e-06    1.02794004e-07    6.6842665e-07    1.4618057e-09    7.836606e-09
29_4    1.1778202e-09    4.3310292e-06    8.056572e-08    6.271919e-07    1.4928139e-09    7.0616526e-09
30_4    1.4720838e-09    4.422432e-06    7.96655e-08    7.096684e-07    1.5047685e-09    7.1194868e-09
31_4    1.3092927e-09    4.418858e-06    1.0867299e-07    7.6056983e-07    1.2880373e-09    7.750519e-09
32_4    1.4825653e-09    4.2084057e-06    7.7573425e-08    7.1113635e-07    1.1499892e-09    8.308665e-09
33_4    1.2787874e-09    4.3627115e-06    9.584542e-08    7.599568e-07    1.2360819e-09    8.521813e-09
34_4    1.4115692e-09    4.3273444e-06    9.254075e-08    6.142965e-07    1.5221157e-09    8.101623e-09
35_4    1.0616892e-09    4.213756e-06    1.1773846e-07    6.630134e-07    1.4949075e-09    8.038019e-09
36_4    1.124569e-09    4.306316e-06    1.0034082e-07    7.8147673e-07    9.760157e-10    1.0100705e-08
37_4    1.6184172e-09    4.4016533e-06    7.182917e-08    6.899831e-07    1.0429776e-09    1.2894358e-08
38_4    1.5654763e-09    5.608232e-06    1.146553e-07    7.1289446e-07    1.5717739e-09    1.9388581e-08
39_4    1.9326536e-09    9.06302e-06    1.1418579e-07    1.039447e-06    1.8443457e-09    3.2622093e-08
40_4    2.52433e-09    1.1300404e-05    1.2782957e-07    1.2236767e-06    1.9767392e-09    4.2721794e-08
0_5    2.3658693e-09    9.766142e-06    1.2502382e-07    1.4951122e-06    1.5824569e-09    nan
1_5    2.1768116e-09    7.9474485e-06    1.2319398e-07    1.2620931e-06    1.2571907e-09    nan
2_5    1.6705222e-09    5.229311e-06    8.787414e-08    6.973606e-07    9.423684e-10    nan
3_5    1.7161659e-09    4.1598264e-06    1.1889212e-07    5.553684e-07    1.1170606e-09    nan
4_5    2.122888e-09    4.0670993e-06    7.4976235e-08    6.768542e-07    1.2208451e-09    nan
5_5    2.2688695e-09    3.9816337e-06    9.2114036e-08    6.160703e-07    1.3411742e-09    3.693996e-08
6_5    2.6120466e-09    4.088366e-06    1.02412905e-07    5.6262076e-07    1.1589926e-09    3.1792187e-08
7_5    2.3006388e-09    3.987128e-06    1.0010559e-07    6.0244327e-07    1.4947081e-09    2.3879688e-08
8_5    1.6255601e-09    3.621626e-06    9.123143e-08    5.471559e-07    1.3118834e-09    1.33121665e-08
9_5    1.9759392e-09    3.6142906e-06    1.1897323e-07    7.2623453e-07    6.227771e-10    9.249606e-09
10_5    1.7693528e-09    3.82949e-06    1.2667647e-07    6.3950165e-07    9.795323e-10    8.536142e-09
11_5    1.681516e-09    3.8560834e-06    8.786621e-08    5.566561e-07    1.0030129e-09    8.952005e-09
12_5    1.1510057e-09    3.7349485e-06    7.371565e-08    7.0604034e-07    9.501272e-10    8.288482e-09
13_5    1.1270603e-09    3.8028843e-06    1.0494507e-07    6.0684675e-07    1.3955017e-09    8.281536e-09
14_5    1.204241e-09    3.802727e-06    7.102786e-08    6.012885e-07    1.3953352e-09    8.737487e-09
15_5    1.3367647e-09    3.8085273e-06    7.858486e-08    6.763898e-07    8.56881e-10    9.161975e-09
16_5    1.3786364e-09    3.9189777e-06    6.165927e-08    6.642283e-07    5.5584737e-10    8.752542e-09
17_5    1.4191048e-09    3.8810576e-06    1.4385067e-07    6.792927e-07    8.4785395e-10    7.99976e-09
18_5    1.6036316e-09    3.987812e-06    9.30962e-08    6.721946e-07    1.0721768e-09    7.49506e-09
19_5    1.3744842e-09    4.048625e-06    1.16702886e-07    5.660502e-07    1.2317027e-09    7.43684e-09
20_5    1.4023667e-09    3.9675406e-06    1.1075981e-07    5.971572e-07    1.4292063e-09    8.060833e-09
21_5    1.6364191e-09    3.9875263e-06    8.865995e-08    5.5260955e-07    1.087417e-09    7.8934725e-09
22_5    1.43411e-09    3.9462407e-06    1.3447028e-07    6.0396184e-07    1.0097276e-09    8.476435e-09
23_5    1.402303e-09    4.0370405e-06    6.935464e-08    6.307512e-07    9.711546e-10    8.415271e-09
24_5    1.258759e-09    4.1186786e-06    9.751164e-08    6.2815496e-07    6.852354e-10    8.087731e-09
25_5    1.3412541e-09    4.101958e-06    8.1087e-08    6.3389905e-07    8.5246527e-10    7.165789e-09
26_5    1.2690442e-09    3.9421425e-06    1.3149699e-07    6.750241e-07    1.3091865e-09    7.335169e-09
27_5    1.2371714e-09    3.846017e-06    9.2000924e-08    5.7830977e-07    1.4485734e-09    8.136808e-09
28_5    1.3300571e-09    3.7710483e-06    9.502951e-08    6.2064726e-07    1.3237349e-09    8.573816e-09
29_5    1.1571953e-09    3.7591508e-06    9.420061e-08    5.6840423e-07    1.2922845e-09    7.649358e-09
30_5    1.0600918e-09    3.9572706e-06    9.931892e-08    6.221111e-07    1.1769813e-09    7.738432e-09
31_5    1.3118242e-09    3.706016e-06    1.1716036e-07    6.5596987e-07    1.0043715e-09    8.475172e-09
32_5    1.4949161e-09    3.6743822e-06    8.9338286e-08    6.2150815e-07    1.094983e-09    8.543793e-09
33_5    1.3442023e-09    3.8364637e-06    1.0357426e-07    6.8044886e-07    1.43157e-09    8.612913e-09
34_5    1.460818e-09    3.8130463e-06    8.735605e-08    5.943635e-07    1.7050887e-09    8.422128e-09
35_5    1.346038e-09    3.917492e-06    9.1938965e-08    6.5634964e-07    1.52131e-09    8.921393e-09
36_5    1.568473e-09    4.029994e-06    1.1763367e-07    7.2747855e-07    8.6435614e-10    1.06721325e-08
37_5    1.7685936e-09    3.971806e-06    7.544845e-08    6.658655e-07    1.2769147e-09    1.3933516e-08
38_5    1.3421796e-09    5.2414116e-06    1.0564589e-07    6.7736937e-07    1.8598172e-09    1.930971e-08
39_5    2.1376259e-09    8.448358e-06    1.1406092e-07    9.796923e-07    2.1195772e-09    2.9058668e-08
40_5    3.0001588e-09    1.0494245e-05    1.280016e-07    1.1425866e-06    2.2430968e-09    3.7292008e-08
0_6    2.572684e-09    1.0200798e-05    1.1240334e-07    1.5863543e-06    1.7385986e-09    nan
1_6    2.3350917e-09    8.247899e-06    1.1111623e-07    1.3427233e-06    1.3729818e-09    nan
2_6    1.826766e-09    5.2848604e-06    1.08440545e-07    7.615592e-07    9.324733e-10    nan
3_6    1.8302937e-09    4.2876145e-06    1.372987e-07    5.740256e-07    1.040481e-09    nan
4_6    2.258088e-09    4.1673193e-06    9.94961e-08    7.1807864e-07    1.2679565e-09    nan
5_6    2.3835551e-09    4.051115e-06    7.224138e-08    6.3769653e-07    1.4227348e-09    3.68973e-08
6_6    2.6094562e-09    3.847079e-06    9.165307e-08    6.1184295e-07    1.049334e-09    3.1447364e-08
7_6    2.1002513e-09    3.6609613e-06    1.0149733e-07    6.3584645e-07    1.2821039e-09    2.3764466e-08
8_6    1.790176e-09    3.5568285e-06    9.566169e-08    5.431059e-07    1.2526039e-09    1.3573868e-08
9_6    1.8440629e-09    3.6573197e-06    1.18223234e-07    7.0865633e-07    8.63073e-10    9.262019e-09
