X_Y   CO J=1-0   C2H N=1-0 J=3/2-1/2 F=2-1   C3H2 J=2-1 K+=1-0 K-=2-1   CS J=2-1   HCN J=1-0 F=2-1   HCO+ J=1-0   HNC J=1-0   SO J=3-2 K=2-1
20_3   1.8770E-10   3.9679E-11   3.9885E-11   3.5559E-11   3.6962E-11   3.1089E-11   4.2391E-11   3.2740E-11
21_3   1.6029E-10   5.1487E-11   4.6939E-11   4.1175E-11   2.9392E-11   4.4227E-11   4.4697E-11   3.5137E-11
22_3   1.5402E-10   4.5973E-11   5.0938E-11   3.5415E-11   2.7170E-11   3.5377E-11   3.6749E-11   3.0022E-11
23_3   2.1428E-10   3.5804E-11   4.9896E-11   3.0483E-11   4.0199E-11   3.5933E-11   4.0595E-11   2.6801E-11
24_3   2.0173E-10   4.3889E-11   3.5036E-11   3.1631E-11   5.8609E-11   4.2612E-11   4.1062E-11   2.8695E-11
25_3   1.6796E-10   4.4291E-11   4.7780E-11   3.7508E-11   4.3880E-11   4.9152E-11   4.5706E-11   2.7100E-11
26_3   1.7247E-10   4.2068E-11   4.9186E-11   3.1567E-11   4.8098E-11   4.8449E-11   4.3609E-11   3.0853E-11
27_3   1.4271E-10   5.2094E-11   4.3086E-11   2.6666E-11   4.1645E-11   3.7957E-11   4.2783E-11   3.1116E-11
28_3   1.4980E-10   4.4684E-11   5.6756E-11   3.1767E-11   4.0649E-11   3.7008E-11   4.5632E-11   3.1405E-11
29_3   1.9882E-10   5.6411E-11   5.1788E-11   3.1795E-11   3.8977E-11   3.8134E-11   4.3472E-11   3.2068E-11
30_3   2.0373E-10   5.4052E-11   4.8921E-11   2.8474E-11   2.5787E-11   4.5335E-11   3.7244E-11   3.4113E-11
31_3   1.8961E-10   5.3935E-11   4.1731E-11   3.4954E-11   3.4724E-11   4.4148E-11   3.2899E-11   3.6904E-11
32_3   1.8600E-10   4.5895E-11   4.2845E-11   4.3494E-11   2.9911E-11   3.6310E-11   3.9502E-11   3.2248E-11
33_3   1.7591E-10   4.9106E-11   4.3220E-11   3.5620E-11   2.6991E-11   3.1685E-11   4.4820E-11   3.1174E-11
34_3   1.7406E-10   4.5380E-11   4.5596E-11   3.3862E-11   2.8752E-11   4.0454E-11   4.2622E-11   3.4555E-11
35_3   1.2721E-10   4.3456E-11   5.2464E-11   3.2327E-11   5.5779E-11   4.8550E-11   4.1425E-11   3.3394E-11
36_3   1.0846E-10   3.8575E-11   5.4195E-11   3.5418E-11   4.7605E-11   4.9534E-11   4.0908E-11   3.4246E-11
37_3   9.7316E-11   5.2804E-11   4.8453E-11   3.2294E-11   4.4653E-11   4.9224E-11   4.7220E-11   3.4121E-11
38_3   1.0188E-10   4.4541E-11   4.6126E-11   2.7706E-11   4.4861E-11   4.4522E-11   5.3430E-11   3.2928E-11
39_3   1.2791E-10   5.0657E-11   5.1174E-11   2.4144E-11   5.1409E-11   4.1998E-11   4.1914E-11   3.0895E-11
40_3   1.2514E-10   6.1087E-11   4.1561E-11   2.2633E-11   4.3549E-11   4.2678E-11   3.7586E-11   2.8922E-11
41_3   1.1752E-10   5.7617E-11   4.8089E-11   2.4689E-11   3.9521E-11   5.3342E-11   4.2108E-11   2.5452E-11
42_3   1.1192E-10   4.9759E-11   4.5436E-11   2.6299E-11   3.2909E-11   3.6490E-11   4.5581E-11   2.7222E-11
43_3   1.1710E-10   4.3595E-11   4.7590E-11   2.6081E-11   4.0212E-11   3.4768E-11   3.8717E-11   3.6202E-11
44_3   1.3535E-10   5.2268E-11   4.8817E-11   2.7985E-11   3.2704E-11   4.7590E-11   4.6921E-11   3.9983E-11
0_4   2.0409E-10   3.6029E-11   3.2584E-11   3.8695E-11   3.2662E-11   3.4549E-11   3.3688E-11   4.0833E-11
1_4   1.8950E-10   3.5767E-11   3.7988E-11   4.0171E-11   3.4960E-11   2.9263E-11   3.2390E-11   4.3336E-11
2_4   1.5102E-10   4.1927E-11   3.5565E-11   3.0162E-11   2.7594E-11   3.2024E-11   3.6522E-11   3.8202E-11
3_4   1.5218E-10   4.4084E-11   3.1528E-11   2.7678E-11   2.3338E-11   4.2857E-11   3.8196E-11   4.2389E-11
4_4   1.5168E-10   3.9781E-11   4.5594E-11   2.9685E-11   2.8279E-11   3.6316E-11   4.1189E-11   4.3516E-11
5_4   1.5218E-10   3.9103E-11   4.5173E-11   3.4255E-11   2.9601E-11   2.7704E-11   3.7765E-11   3.5264E-11
6_4   1.5708E-10   3.9778E-11   4.1155E-11   3.9348E-11   2.5458E-11   3.2796E-11   3.3059E-11   3.3700E-11
7_4   1.8110E-10   4.2385E-11   3.4509E-11   3.7163E-11   2.6311E-11   3.5212E-11   2.7916E-11   3.5171E-11
8_4   1.7495E-10   3.8212E-11   3.4275E-11   3.1258E-11   4.0454E-11   3.7212E-11   3.0009E-11   3.4358E-11
9_4   1.5301E-10   4.1676E-11   3.0135E-11   2.7863E-11   3.4836E-11   4.3697E-11   3.2589E-11   3.7749E-11
10_4   1.7172E-10   4.1237E-11   3.3556E-11   3.0306E-11   2.8980E-11   3.2036E-11   3.2547E-11   3.4417E-11
11_4   2.0900E-10   3.9239E-11   2.7077E-11   2.7624E-11   3.1993E-11   4.1913E-11   3.0628E-11   3.8067E-11
12_4   1.9047E-10   3.8415E-11   3.6182E-11   3.1037E-11   2.6726E-11   4.0113E-11   3.3936E-11   3.9193E-11
13_4   1.6271E-10   3.8531E-11   3.0456E-11   3.1092E-11   3.5660E-11   3.4724E-11   3.5195E-11   4.2230E-11
14_4   1.7310E-10   3.7754E-11   3.7270E-11   2.9197E-11   2.6763E-11   3.3300E-11   3.4504E-11   4.2826E-11
15_4   1.8616E-10   4.2245E-11   3.6702E-11   3.7563E-11   2.5095E-11   3.2564E-11   3.8055E-11   3.7699E-11
16_4   1.7839E-10   4.4330E-11   2.7738E-11   3.2830E-11   3.9038E-11   3.0680E-11   3.2872E-11   3.7016E-11
